nom,street,postal_code,city,latitude,longitude,geocode_score,statut,objet,siret,mots_cles
LA RUCHE BRESSANE,55 IMP DE BUGUETS,71500,Ratte,46.644956,5.301364,0.7562,Active,Gérer une épicerie solidaire visant à venir en aide aux populations démunies et de promouvoir à   l'écologie et l'anti-gaspillage. elle sensibilise la population à l'écologie et aux ressources non renouvelables de notre planète,,épicerie solidaire
SOCIETE SAINT VINCENT DE PAUL - CONFERENCE SAINT BARNABE DE MACON,PL du bourg,71001,Charnay-lès-Mâcon,46.309433,4.784239,0.6932,Active,"réaliser ou soutenir, par tous moyens à sa convenance, toutes les initiatives en faveur de l'aide et l'action sociale, de la fraternité, de la prévoyance, de la protection, de la santé, de l'assistance matérielle et morale et toute oeuvre de bienfaisance ; favoriser toutes les actions en faveur de l'aide alimentaire, de l'insertion, de l'hébergement, du logement ou de l'amélioration du logement des personnes défavorisées",,aide alimentaire
MELTING POPOTE,4 ZONE3 la Courbe,71250,Salornay-sur-Guye,46.514141,4.6041,0.7603,Active,"renforcer les coopérations dans la filière alimentaire sur le territoire du clunisois, à travers l'accès à l'alimentation durable, le renforcement des circuits courts , la qualité de l'alimentation, la lutte contre le gaspillage alimentaire et la mise en pratique de la solidarité ; elle oeuvrera notamment pour mettre en place et gérer un laboratoire de transformation alimentaire, favoriser la collaboration et la coopération entre tous les acteurs du territoire ayant l'usage de cet outil, développer l'activité économique locale en confortant les emplois des usagers, et en créant des emplois en propre, avec une visée à terme de transformation en société coopérative d'intérêt collectif",,lutte contre le gaspillage alimentaire
LA MAISON 71,5 RUE Principale,71520,Tramayes,46.367759,4.56742,0.6123,Active,"amélioration des conditions de vie des personnes en situation précaire ou difficile, en apportant une aide alimentaire au plus démunis, un soutien et un accompagnement dans les démarches administratives, sociales, psychologiques, médicales, professionnelles etc, en faisant appel aux différents professionnels en fonction du besoin",,aide alimentaire
ASSOCIATION JEUNE SOLIDAIRE,39 RUE Gambetta,71000,Mâcon,46.30282,4.828574,0.9690,Active,"promouvoir l'entraide entre nous ; aide supplémentaire aux différentes associations qui nous ont accompagnées dès le début de notre arrivée sur le territoire français ; être davantage utiles pour épauler les associations humanitaires à but non lucratif et d'autres qui nous ont soutenues, guidée, accompagnées et encouragées dans notre démarche vers l'inclusion et l'insertion sociale ; traduction des distinctes langues ; Guinée, Mali, Côte d'Ivoire, Sénégal ; dans les différentes structures d'accueil ; promouvoir l'intégration, effectuer des levées de fonds pour l'aide alimentaire, vestimentaire etc ; des activités culturelles seront mises en place par l'association ; journées sports ; football ; culturelles ; théâtre, danse, musique etc ; échange, partage etc ; organisation de trois évènements sur l'année civile dans le cadre de la journée fête culturelle ; diversité de repas etc ; organisés dans la bienveillance et le respect de tout un chacun, venir en aide aux personnes et aux membres de l'association qui sont dans le besoin, dans les démarches administratives et l'autre aide",,aide alimentaire
SALMA SOLIDAIRE (2S),21 CHEM1 de la Ferme,69120,Vaulx-en-Velin,45.785521,4.914352,0.8621,Active,"apporter une aide alimentaire temporaire à des personnes momentanément démunies , et tous objets similaires, connexes ou complémentaires ou susceptibles d'en favoriser la réalisation ou le développement",,aide alimentaire
COLLECTIF SOUPE POPULAIRE 07,7 SENT3 des Passets,07140,Vans,44.408607,4.12977,0.7037,Active,"lutter contre les dérives de la surconsommation ; changer, partager, favoriser la solidarité et l'entraide apporter une aide alimentaire temporaire à des personnes momentanément démunies ; être un lieu d'accueil et de rencontre, en vue de contribuer à faciliter voire à restaurer les liens sociaux ; être un lieu d'écoute neutre et non jugeant ; développer des animations individuelles ou collectives proposées par des bénévoles ; consolider les partenariats ; aider au développement de l'art en zone rurale soutenir et développer des activités artistiques (théâtre, musique, chant, dessin, peinture, sculpture etc)",,aide alimentaire
ENTR'AIDE BEAUME DROBIE,35 La Grand Font,07260,Joyeuse,44.481373,4.23763,0.7412,Active,"apporter une aide alimentaire et non-alimentaire temporaire à des personnes momentanément démunies (adressées par les services sociaux du secteur) ; être un lieu d'accueil et de rencontre pour les membres et bénéficiaires en vue de contribuer à faciliter, voire restaurer les liens sociaux ; être un lieu d'écoute neutre non jugeant ; développer des animations individuelles ou collectives proposées par des bénévoles y compris pour réunir des fonds supplémentaires",,aide alimentaire
ASSOCIATION TERRE DE BONHEUR,2029 RTE de Saint Martial,07310,Borée,44.888351,4.226058,0.8469,Active,"plantations d'arbres fruitiers ; plantations d'arbres et arbustes d'ornements ; créations de jardins forêt, jardins nourriciers ; créations d'espaces de biodiversités ; créations d'une filière de distribution alimentaire",,distribution alimentaire
AUBENAS PARTAGE,40 CHEM1 de la Fontaine de Cheyron,07200,Aubenas,44.596509,4.402607,0.8660,Active,"rassembler les moyens et mobiliser des personnes dans le but d'assurer un meilleur fonctionnement de la distribution de l'aide alimentaire, sur la commune d'Aubenas et exceptionnellement les communes limitrophes ; lutter contre la précarité en traitant dans un premier temps l'urgence qu'est la faim et proposer un lieu d'accueil avec des activités annexes ; bibliothèque, distribution de produits d'entretien et de lessive, service vestimentaire, lieu d'écoute et d'informations avec café ou boissons fraîches, avec la possibilité d'intervenants sociaux",,aide alimentaire
